Carimbo de data/hora,Você já comprou algum imóvel em Vitória ou Vila Velha?,Bairro onde comprou o imóvel:,"Qual sua idade? Ex: """"20""""",1)   Qual(is) local(is) ou método(s) você mais utiliza quando vai pesquisar algum imóvel para comprar?,2)   Você considera esses métodos de pesquisa/atendimento eficientes ou acredita que poderiam ser melhores? (Relacionado ao que foi marcado na pergunta anterior),"3)   Se já foi atendido por alguma imobiliária, qual nota você daria para esse atendimento? ","4)   Se já foi atendido por algum corretor independente, qual nota você daria para esse atendimento? (em média, caso tenha sido atendido por mais de um)","5)   Gostaria de ter a possibilidade de escolher, através de uma apresentação e histórico de avaliações de outros consumidores, o corretor imobiliário que vai te auxiliar na busca por algum imóvel? (Como Ifood e Booking, notas, nível de avaliação, comentários)",6)   Qual sua opinião sobre os valores cobrados na corretagem de imóveis? (Atualmente na média de 5% do valor do imóvel),"7)   Usaria uma plataforma (digital) que te desse a possibilidade de escolher o corretor de imóvel mais alinhado ao seu perfil, te auxiliando do início ao final da operação com qualidade e segurança, sem custo adicional e oferecendo desconto na comissão?",e-mail/telefone para contato
2024/09/11 3:21:52 PM GMT-3,Nunca.,"",,"","","","","","","",""
2024/09/11 3:22:13 PM GMT-3,Nunca.,"",,"","","","","","","",""
2024/09/11 3:26:47 PM GMT-3,"Sim, mais de uma vez.","",,"","","","","","","",""
2024/09/11 3:30:41 PM GMT-3,"Sim, mais de uma vez.",Jardim da Penha,58,b)   Imobiliária.,São eficientes e não precisam melhorar.,4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,a) Com certeza.,""
2024/09/17 10:50:50 AM GMT-3,Sim,Jardim Camburi,56,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/17 10:54:14 AM GMT-3,Sim,Fradinhos,,"","","","","","","",""
2024/09/17 11:09:42 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/17 11:10:37 AM GMT-3,Sim,Jardim Camburi,55,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/17 11:13:38 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/17 11:26:23 AM GMT-3,Sim,Jardim Camburi,54,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,Não gostaria.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/17 11:31:51 AM GMT-3,Sim,Jardim Camburi,46,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),4 (bom),Não gostaria.,c) Considero extremamente elevado.,d) Não tenho interesse.,nome@gamil.com
2024/09/17 11:44:44 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/17 12:26:11 PM GMT-3,Sim,Jardim Camburi,45,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/17 12:39:50 PM GMT-3,Sim,Jardim Camburi,44,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/17 1:43:34 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/17 6:54:38 PM GMT-3,Sim,Barro Vermelho,55,g) Dicas de familiares e amigos.,Não tenho uma opinião formada.,4 (bom),4 (bom),Talvez.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/09/17 7:37:35 PM GMT-3,Sim,Jardim Camburi,52,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.","São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),Talvez.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/17 7:46:22 PM GMT-3,Sim,Jardim Camburi,52,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/18 7:17:41 AM GMT-3,Sim,Mata da Praia,54,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),4 (bom),Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/18 7:20:45 AM GMT-3,Sim,Itapuã,47,b)   Imobiliária.,"São bons, mas podem melhorar.",3 (razoável),2 (ruim),Talvez.,c) Considero extremamente elevado.,b) Sim.,nome@gamil.com
2024/09/18 11:53:25 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 6:07:24 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 6:08:04 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 6:11:09 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 6:33:41 AM GMT-3,Sim,Jardim Camburi,49,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,Talvez.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/09/19 7:32:48 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 7:58:15 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 7:58:47 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 8:33:18 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:16:22 AM GMT-3,Sim,Santa Cecília ,,"","","","","","","",""
2024/09/19 9:17:06 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:19:27 AM GMT-3,Sim,Jardim da Penha,57,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,5 (muito bom),Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/19 9:19:56 AM GMT-3,Sim,Mata da Praia,51,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.","São bons, mas podem melhorar.",4 (bom),5 (muito bom),"Sim, gostaria.",b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/09/19 9:20:01 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:21:14 AM GMT-3,Sim,Mata da Praia,49,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",5 (muito bom),4 (bom),Talvez.,a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/19 9:22:04 AM GMT-3,Sim,Itapuã,47,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),4 (bom),Não gostaria.,d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/19 9:22:36 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:32:59 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:34:04 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:45:11 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:53:33 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:57:48 AM GMT-3,Sim,Barro Vermelho,62,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",2 (ruim),2 (ruim),Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/19 10:29:53 AM GMT-3,Sim,Centro Vitória ,,"","","","","","","",""
2024/09/19 10:36:17 AM GMT-3,Sim,Jardim da Penha,19,"e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/19 12:49:02 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 2:45:10 PM GMT-3,Sim,Barro Vermelho,60,"e)   Placas, anúncios, ...",Não são eficientes e não acho que podem melhorar.,2 (ruim),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/19 3:44:15 PM GMT-3,Sim,Jardim Camburi,39,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,Talvez.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/19 3:49:32 PM GMT-3,Sim,Praia de Itaparica,50,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),5 (muito bom),Talvez.,c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/09/19 4:28:51 PM GMT-3,Sim,Jardim da Penha,37,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.","São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,3 (razoável),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/19 5:55:57 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 6:52:15 PM GMT-3,Sim,Jardim Camburi,49,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/19 7:06:07 PM GMT-3,Sim,Jardim Camburi,46,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/19 8:19:19 PM GMT-3,Sim,Praia de Itaparica,44,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/19 8:25:00 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 8:25:55 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 8:29:21 PM GMT-3,Sim,Jardim Camburi,58,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/19 8:33:31 PM GMT-3,Sim,Praia do Canto,63,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/09/19 8:37:50 PM GMT-3,Sim,Jardim Camburi,54,b)   Imobiliária.;g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/19 8:40:03 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 8:50:40 PM GMT-3,Sim,Estrelinha,,"","","","","","","",""
2024/09/19 8:53:00 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 8:54:27 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:07:45 PM GMT-3,Sim,Jardim Camburi,54,"e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),3 (razoável),Talvez.,a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/19 9:31:17 PM GMT-3,Sim,Jardim Camburi,43,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/19 9:33:12 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:37:44 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/19 9:39:21 PM GMT-3,Sim,Jardim Camburi,45,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);e)   Placas, anúncios, ...","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/19 10:02:37 PM GMT-3,Sim,Jardim Camburi,48,"f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",4 (bom),5 (muito bom),Não gostaria.,a) Acho justo o valor cobrado.,d) Não tenho interesse.,nome@gamil.com
2024/09/19 10:04:00 PM GMT-3,Sim,Jardim Camburi,72,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/19 10:19:38 PM GMT-3,Sim,Praia do Canto,45,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),3 (razoável),Talvez.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/20 6:44:14 AM GMT-3,Sim,Enseada do Suá,44,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/20 7:27:07 AM GMT-3,Sim,Jardim Camburi,56,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),Talvez.,a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/20 8:20:30 AM GMT-3,Sim,Jardim da Penha,57,"b)   Imobiliária.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/20 8:43:21 AM GMT-3,Sim,Praia do Canto,49,b)   Imobiliária.,"Não são eficientes, mas podem melhorar.",1 (muito ruim),5 (muito bom),Não gostaria.,a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/20 9:39:50 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 9:47:14 AM GMT-3,Sim,Enseada do Suá,48,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/20 9:57:13 AM GMT-3,Sim,Jardim Camburi,44,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/20 10:31:25 AM GMT-3,Sim,Praia de Itaparica,19,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);c)   Engenheiro ou construtor.","São bons, mas podem melhorar.",4 (bom),3 (razoável),Talvez.,c) Considero extremamente elevado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/20 10:57:03 AM GMT-3,Sim,Praia de Itaparica,55,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/20 12:56:29 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 12:56:39 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 1:11:30 PM GMT-3,Sim,Jardim da Penha,60,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",3 (razoável),3 (razoável),Talvez.,c) Considero extremamente elevado.,b) Sim.,nome@gamil.com
2024/09/20 1:24:37 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 1:26:55 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 2:17:43 PM GMT-3,Sim,Jardim colorado  vv,,"","","","","","","",""
2024/09/20 3:41:22 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 3:47:40 PM GMT-3,Sim,Vale Encantado,,"","","","","","","",""
2024/09/20 3:51:47 PM GMT-3,Sim,Vila Batista ,,"","","","","","","",""
2024/09/20 4:06:46 PM GMT-3,Sim,Guarapari,,"","","","","","","",""
2024/09/20 4:09:39 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 4:13:47 PM GMT-3,Sim,Enseada do Suá,49,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/20 4:22:01 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 4:29:50 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 4:58:22 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 4:59:18 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:03:20 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:03:36 PM GMT-3,Sim,Santa Helena,,"","","","","","","",""
2024/09/20 5:04:31 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:06:17 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:11:50 PM GMT-3,Sim,Ilha do Boi,46,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,4 (bom),5 (muito bom),Não gostaria.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/20 5:12:50 PM GMT-3,Sim,Alecrim,,"","","","","","","",""
2024/09/20 5:16:02 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:16:20 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:18:17 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:18:53 PM GMT-3,Sim,São Pedro I,,"","","","","","","",""
2024/09/20 5:21:14 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:23:13 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:24:49 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:29:44 PM GMT-3,Sim,Enseada do Suá,28,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/20 5:37:56 PM GMT-3,Sim,Jardim Camburi,48,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/20 5:43:31 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:50:17 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:52:27 PM GMT-3,Sim,Bento Ferreira,,"","","","","","","",""
2024/09/20 5:54:05 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/20 5:55:13 PM GMT-3,Sim,Praia de Itaparica,33,b)   Imobiliária.,São eficientes e não precisam melhorar.,3 (razoável),4 (bom),Não gostaria.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/20 6:14:44 PM GMT-3,Sim,Praia do Canto,53,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),4 (bom),Não gostaria.,b) Considero alto.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/20 6:45:18 PM GMT-3,Sim,Jardim Camburi,58,"e)   Placas, anúncios, ...","São bons, mas podem melhorar.",5 (muito bom),4 (bom),Talvez.,d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/20 10:55:32 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/21 2:58:18 PM GMT-3,Sim,Praia do Canto,73,d)   Corretor autônomo.;g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/22 6:46:51 AM GMT-3,Sim,Jardim da Penha,41,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",4 (bom),3 (razoável),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/22 7:50:34 AM GMT-3,Sim,Maruípe ,,"","","","","","","",""
2024/09/22 7:53:11 AM GMT-3,Sim,maruípe ,,"","","","","","","",""
2024/09/22 2:56:42 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 3:10:23 PM GMT-3,Sim,Praia da Costa,59,Jornal de Domingo,São eficientes e não precisam melhorar.,4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/22 3:11:01 PM GMT-3,Sim,Praia do Canto,50,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",4 (bom),5 (muito bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/22 3:11:41 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 3:28:41 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 3:53:36 PM GMT-3,Sim,Jardim Camburi,22,d)   Corretor autônomo.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/22 3:57:31 PM GMT-3,Sim,Praia da Costa,24,"d)   Corretor autônomo.;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",1 (muito ruim),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/22 4:09:38 PM GMT-3,Sim,Itapuã,33,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,4 (bom),3 (razoável),Não gostaria.,a) Acho justo o valor cobrado.,d) Não tenho interesse.,nome@gamil.com
2024/09/22 4:11:57 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 4:18:53 PM GMT-3,Sim,Itapuã,23,"d)   Corretor autônomo.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/22 4:22:36 PM GMT-3,Sim,Barramares,,"","","","","","","",""
2024/09/22 4:28:05 PM GMT-3,Sim,Praia da Costa,65,b)   Imobiliária.,São eficientes e não precisam melhorar.,4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
